IRIS;DEC_PIMP21;DEC_TP6021;DEC_INCERT21;DEC_Q121;DEC_MED21;DEC_Q321;DEC_EQ21;DEC_D121;DEC_D221;DEC_D321;DEC_D421;DEC_D621;DEC_D721;DEC_D821;DEC_D921;DEC_RD21;DEC_S80S2021;DEC_GI21;DEC_PACT21;DEC_PTSA21;DEC_PCHO21;DEC_PBEN21;DEC_PPEN21;DEC_PAUT21;DEC_NOTE21
010040101;43,0;29,0;2;12610;19330;26390;0,71;7760;11300;13900;16440;21760;24660;28120;33850;4,4;6,3;0,318;69,3;62,5;3,2;3,6;27,1;3,6;0
010040102;42,0;39,0;1;9730;16830;24620;0,89;4680;8600;11070;13910;19560;22940;26880;33030;7,1;9,0;0,362;70,5;63,7;4,4;2,4;25,6;3,9;0
010040201;47,0;29,0;1;12220;19940;27650;0,77;6500;10300;14220;17130;22570;25580;29920;37220;5,7;8,0;0,352;69,3;61,9;3,6;3,8;26,7;4,0;0
010040202;62,0;14,0;1;18350;25560;35010;0,65;11960;16450;19860;22810;28630;32670;37460;45520;3,8;6,3;0,360;65,5;60,0;2,3;3,2;21,8;12,7;0
010330102;42,0;31,0;1;11280;19870;30050;0,94;5250;9790;13120;16750;23640;27430;34260;44820;8,5;10,6;0,390;74,1;67,5;4,8;1,8;23,0;2,9;0
010330103;49,0;23,0;2;14480;24250;37150;0,94;7390;12160;16780;20630;28920;33720;42220;52060;7,0;9,3;0,382;76,1;69,6;3,9;2,6;20,6;3,3;0
010330201;50,0;19,0;1;16680;26260;38330;0,82;8940;14140;18700;22560;29630;34600;42000;57920;6,5;8,2;0,370;71,9;66,2;3,6;2,1;24,6;3,5;0
010330202;40,0;36,0;1;10810;18380;28270;0,95;5630;9110;12180;15200;22020;26220;31770;42550;7,6;10,0;0,389;68,1;62,5;4,4;1,2;30,3;1,6;0
010330301;39,0;27,0;2;13000;21760;32830;0,91;7590;11190;15550;18350;25600;29570;35610;45980;6,1;6,9;0,343;79,8;74,4;4,7;0,7;18,7;1,5;0
010330401;53,0;12,0;1;20080;29300;41880;0,74;13120;18070;22090;25640;33740;38590;46470;58590;4,5;6,0;0,336;77,5;71,6;3,3;2,6;17,6;4,9;0
010340101;55,0;15,0;1;17410;22830;29950;0,55;11290;15760;18470;20520;24990;28230;32310;40250;3,6;5,0;0,302;63,0;55,3;2,7;5,0;31,6;5,4;0
010340102;46,0;27,0;1;13090;19930;28100;0,75;7300;11150;14750;17250;22640;26270;30740;38940;5,3;6,9;0,336;60,0;53,0;3,3;3,7;36,1;3,9;0
010340103;41,0;39,0;2;9480;16790;25000;0,92;5050;8340;11070;13970;19710;22960;28060;36470;7,2;9,7;0,398;61,1;55,2;3,5;2,4;33,4;5,5;0
010530101;49,0;31,0;1;11490;20210;30400;0,94;4740;9410;13300;16540;23530;27860;33280;43750;9,2;13,4;0,430;66,8;58,4;3,5;4,9;25,0;8,2;0
010530102;51,0;26,0;1;13160;21070;29710;0,79;6040;10480;15120;18340;24090;28000;32430;41610;6,9;9,3;0,369;58,1;52,5;2,5;3,1;38,9;3,0;0
010530103;53,0;25,0;2;13840;22900;33930;0,88;5340;11460;15800;19520;26770;31260;37110;48810;9,1;12,8;0,433;58,3;50,9;2,7;4,7;31,3;10,4;0
010530201;51,0;28,0;1;12870;20320;28970;0,79;7210;11130;14890;18030;23190;26830;30870;40310;5,6;7,9;0,367;63,7;56,2;3,3;4,2;32,9;3,4;0
010530202;37,0;45,0;2;7440;15040;23150;1,04;2090;5670;8830;11870;18160;21250;25460;32590;15,6;16,7;0,430;70,5;60,6;5,1;4,8;25,2;4,3;0
010530203;49,0;27,0;1;13000;20530;28290;0,74;5500;10600;15110;18130;23700;26330;31530;39760;7,2;9,5;0,361;66,6;61,4;2,8;2,4;30,3;3,1;0
010530301;58,0;19,0;1;16200;23880;33570;0,73;7900;14180;17750;21060;27330;31190;38530;51280;6,5;8,3;0,370;65,6;60,3;2,6;2,7;29,2;5,2;0
010530302;48,0;31,0;1;11250;19500;27640;0,84;5840;9570;13300;16590;22400;25400;30040;40390;6,9;10,0;0,393;64,0;56,8;3,5;3,7;31,3;4,7;0
010530401;47,0;31,0;2;11460;19490;28220;0,86;6940;9810;13190;16380;22200;26130;30770;37850;5,5;7,2;0,341;64,7;57,4;3,2;4,1;33,4;1,9;0
010530402;61,0;18,0;1;17180;24140;31200;0,58;10360;14990;18740;21110;26540;29600;33230;40890;3,9;5,2;0,293;61,5;56,9;2,5;2,1;35,8;2,7;0
010530501;59,0;19,0;2;16210;24610;32630;0,67;9680;14150;18350;21460;27050;30170;34980;44650;4,6;6,4;0,338;51,5;46,9;1,8;2,8;43,5;5,0;0
010530502;50,0;27,0;1;12720;21070;30520;0,84;7220;11010;14570;17720;24490;27660;33790;44180;6,1;8,6;0,387;60,7;53,7;2,2;4,8;33,3;6,0;0
010530503;25,0;58,0;1;6120;11970;18270;1,01;1010;5250;7320;9630;14090;16550;20360;25780;25,5;17,9;0,431;71,0;63,4;6,2;1,4;26,5;2,5;0
010530601;33,0;49,0;1;7430;14050;21740;1,02;2000;6390;8760;11070;16640;19820;24100;29410;14,7;13,5;0,394;58,1;52,1;4,6;1,4;40,1;1,8;0
